,Year,Genre,Region,Sales
210,2007-01-01,Action,North America,2.31
211,2005-01-01,Sports,North America,3.98
212,2007-01-01,Action,North America,2.89
213,1997-01-01,Racing,North America,2.91
214,2010-01-01,Role-Playing,North America,0.0
215,1990-01-01,Puzzle,North America,2.62
216,2010-01-01,Action,North America,2.74
217,2010-01-01,Strategy,North America,2.56
218,2007-01-01,Adventure,North America,1.91
219,2014-01-01,Sports,North America,0.57
220,1999-01-01,Racing,North America,2.57
221,2016-01-01,Sports,North America,0.28
222,2011-01-01,Action,North America,2.99
223,2000-01-01,Action,North America,2.36
224,2003-01-01,Racing,North America,1.73
225,2000-01-01,Sports,North America,3.05
226,2008-01-01,Simulation,North America,1.87
227,2002-01-01,Action,North America,1.94
228,2011-01-01,Racing,North America,2.08
229,1996-01-01,Action,North America,2.29
230,2007-01-01,Misc,North America,3.06
231,1991-01-01,Action,North America,2.42
232,2002-01-01,Action,North America,2.6
233,2009-01-01,Sports,North America,1.89
234,2013-01-01,Action,North America,1.78
235,2015-01-01,Shooter,North America,1.55
236,2014-01-01,Action,North America,1.78
237,2007-01-01,Misc,North America,3.19
238,2004-01-01,Sports,North America,4.18
239,1981-01-01,Platform,North America,4.21
240,2006-01-01,Sports,North America,3.63
241,2002-01-01,Action,North America,2.71
242,2000-01-01,Role-Playing,North America,0.2
243,2015-01-01,Action,North America,1.96
244,2014-01-01,Shooter,North America,1.54
245,2005-01-01,Action,North America,2.71
246,2012-01-01,Misc,North America,2.55
247,2010-01-01,Misc,North America,2.67
248,2001-01-01,Sports,North America,2.66
249,2006-01-01,Sports,North America,0.1
250,2006-01-01,Role-Playing,North America,2.82
251,1987-01-01,Adventure,North America,2.19
252,2005-01-01,Racing,North America,2.03
253,2006-01-01,Shooter,North America,1.73
254,1991-01-01,Platform,North America,3.03
255,2005-01-01,Role-Playing,North America,2.2
256,2013-01-01,Sports,North America,0.92
257,2014-01-01,Shooter,North America,2.75
258,1980-01-01,Shooter,North America,4.0
259,2008-01-01,Role-Playing,North America,2.51
260,2015-01-01,Shooter,North America,2.64
261,2013-01-01,Platform,North America,2.11
262,2009-01-01,Action,North America,2.23
263,2011-01-01,Action,North America,1.41
264,2001-01-01,Misc,North America,3.0
265,2004-01-01,Action,North America,1.46
266,2006-01-01,Platform,North America,2.45
267,1995-01-01,Strategy,North America,1.7
268,2011-01-01,Action,North America,2.03
269,2005-01-01,Sports,North America,0.78
270,2003-01-01,Misc,North America,0.88
271,2016-01-01,Shooter,North America,1.3
272,2007-01-01,Racing,North America,1.28
273,2011-01-01,Action,North America,2.25
274,2009-01-01,Fighting,North America,2.02
275,2011-01-01,Sports,North America,0.84
276,1989-01-01,Action,North America,3.38
277,1984-01-01,Racing,North America,2.04
278,1997-01-01,Action,North America,3.79
279,2002-01-01,Sports,North America,3.36
280,2014-01-01,Action,North America,1.4
281,1997-01-01,Shooter,North America,4.03
282,1995-01-01,Platform,North America,1.65
283,2006-01-01,Sports,North America,0.71
284,2011-01-01,Action,North America,2.14
285,1992-01-01,Fighting,North America,1.42
286,2007-01-01,Misc,North America,2.13
287,2015-01-01,Role-Playing,North America,2.45
288,2007-01-01,Role-Playing,North America,2.57
289,2010-01-01,Role-Playing,North America,2.65
290,2007-01-01,Action,North America,2.32
291,2007-01-01,Racing,North America,2.35
292,2005-01-01,Sports,North America,0.12
293,1996-01-01,Misc,North America,2.28
294,2000-01-01,Fighting,North America,1.68
295,2014-01-01,Shooter,North America,1.12
296,1997-01-01,Shooter,North America,2.78
297,2014-01-01,Misc,North America,1.38
298,1984-01-01,Sports,North America,1.22
299,2008-01-01,Role-Playing,North America,2.15
300,2007-01-01,Puzzle,North America,0.92
301,2009-01-01,Shooter,North America,2.67
302,2005-01-01,Misc,North America,2.08
303,2009-01-01,Sports,North America,2.1
304,2014-01-01,Action,North America,1.18
305,1994-01-01,Platform,North America,1.97
306,2003-01-01,Sports,North America,2.29
307,2013-01-01,Action,North America,1.33
308,2014-01-01,Role-Playing,North America,0.67
309,2006-01-01,Racing,North America,1.53
310,2011-01-01,Role-Playing,North America,1.15
311,2005-01-01,Fighting,North America,0.93
312,1988-01-01,Role-Playing,North America,0.1
313,2010-01-01,Sports,North America,2.12
314,2015-01-01,Sports,North America,2.48
315,2004-01-01,Sports,North America,0.16
316,2007-01-01,Misc,North America,0.87
317,1995-01-01,Misc,North America,2.12
318,1992-01-01,Action,North America,2.21
319,2009-01-01,Role-Playing,North America,2.26
320,2007-01-01,Misc,North America,1.06
321,2011-01-01,Simulation,North America,1.44
322,2015-01-01,Action,North America,1.49
323,2011-01-01,Sports,North America,1.14
324,2008-01-01,Action,North America,2.4
325,1996-01-01,Action,North America,1.82
326,2007-01-01,Platform,North America,1.4
327,2013-01-01,Misc,North America,1.98
328,2002-01-01,Simulation,North America,2.03
329,2007-01-01,Platform,North America,1.98
330,2001-01-01,Action,North America,1.37
331,2015-01-01,Role-Playing,North America,0.96
332,1999-01-01,Action,North America,1.3
333,2000-01-01,Platform,North America,1.93
334,2004-01-01,Sports,North America,0.58
335,1998-01-01,Strategy,North America,1.49
336,2013-01-01,Shooter,North America,1.3
337,2007-01-01,Simulation,North America,1.59
338,2009-01-01,Misc,North America,0.0
339,2002-01-01,Sports,North America,2.13
340,2005-01-01,Racing,North America,1.65
341,1998-01-01,Platform,North America,1.87
342,2002-01-01,Shooter,North America,2.53
343,2008-01-01,Misc,North America,2.33
344,2013-01-01,Racing,North America,0.71
345,2001-01-01,Platform,North America,2.08
346,1999-01-01,Simulation,North America,2.23
347,2009-01-01,Sports,North America,0.6
348,2007-01-01,Sports,North America,0.05
349,2013-01-01,Shooter,North America,1.78
350,2005-01-01,Action,North America,2.08
351,2016-01-01,Shooter,North America,1.28
352,2004-01-01,Shooter,North America,1.93
353,1994-01-01,Shooter,North America,2.05
354,2001-01-01,Racing,North America,2.02
355,2007-01-01,Simulation,North America,1.61
356,2001-01-01,Action,North America,2.38
357,2005-01-01,Shooter,North America,2.18
358,2000-01-01,Fighting,North America,2.01
359,1997-01-01,Platform,North America,1.57
360,2006-01-01,Action,North America,1.56
361,2002-01-01,Action,North America,1.23
362,1997-01-01,Action,North America,1.66
363,2001-01-01,Shooter,North America,1.9
364,2005-01-01,Action,North America,1.98
365,2013-01-01,Shooter,North America,2.14
366,2010-01-01,Sports,North America,0.71
367,2000-01-01,Action,North America,1.96
368,1999-01-01,Platform,North America,2.14
369,2008-01-01,Shooter,North America,2.66
370,2009-01-01,Sports,North America,1.22
371,2009-01-01,Action,North America,2.11
372,1996-01-01,Platform,North America,1.17
373,2010-01-01,Action,North America,2.84
374,1985-01-01,Action,North America,1.64
375,2009-01-01,Action,North America,2.2
376,2006-01-01,Misc,North America,0.59
377,,Sports,North America,0.59
378,2015-01-01,Shooter,North America,1.94
379,2010-01-01,Shooter,North America,2.09
380,2008-01-01,Misc,North America,2.11
381,2014-01-01,Action,North America,2.26
382,2012-01-01,Shooter,North America,0.88
383,2013-01-01,Role-Playing,North America,0.0
384,2009-01-01,Shooter,North America,2.39
385,2002-01-01,Fighting,North America,1.55
386,2013-01-01,Shooter,North America,1.34
387,2011-01-01,Platform,North America,1.82
388,1998-01-01,Action,North America,1.13
389,1994-01-01,Role-Playing,North America,0.86
390,2004-01-01,Action,North America,1.75
391,1990-01-01,Racing,North America,1.73
392,2002-01-01,Sports,North America,0.46
393,2000-01-01,Misc,North America,1.56
394,2008-01-01,Action,North America,2.03
395,2015-01-01,Action,North America,1.08
396,2009-01-01,Action,North America,1.43
397,1998-01-01,Fighting,North America,2.47
398,2000-01-01,Action,North America,1.9
399,2008-01-01,Puzzle,North America,0.65
400,1998-01-01,Adventure,North America,1.63
401,2013-01-01,Action,North America,1.9
402,2006-01-01,Misc,North America,0.0
403,2002-01-01,Shooter,North America,1.45
404,2002-01-01,Platform,North America,1.44
405,2012-01-01,Misc,North America,1.15
406,2005-01-01,Action,North America,1.47
407,2001-01-01,Shooter,North America,1.99
408,2003-01-01,Action,North America,1.5
409,2015-01-01,Action,North America,0.8
410,2014-01-01,Shooter,North America,2.13
411,2003-01-01,Action,North America,1.89
412,2008-01-01,Misc,North America,1.36
413,2009-01-01,Racing,North America,0.5
414,2015-01-01,Action,North America,0.25
415,1995-01-01,Fighting,North America,0.95
416,2015-01-01,Sports,North America,0.88
417,2011-01-01,Adventure,North America,1.27
418,2015-01-01,Sports,North America,2.33
419,2014-01-01,Role-Playing,North America,0.03
420,1999-01-01,Shooter,North America,1.72
421,1983-01-01,Sports,North America,0.73
422,1995-01-01,Fighting,North America,2.26
423,2000-01-01,Fighting,North America,1.76
424,2007-01-01,Role-Playing,North America,1.35
425,2008-01-01,Action,North America,1.48
426,1995-01-01,Role-Playing,North America,0.0
427,2010-01-01,Misc,North America,2.15
428,2003-01-01,Action,North America,1.78
429,2015-01-01,Platform,North America,1.18
430,2010-01-01,Role-Playing,North America,1.52
431,,Action,North America,1.86
432,2008-01-01,Misc,North America,0.58
433,2001-01-01,Simulation,North America,2.06
434,2008-01-01,Adventure,North America,1.88
435,2001-01-01,Simulation,North America,1.92
436,2008-01-01,Action,North America,1.79
437,2005-01-01,Platform,North America,1.22
438,2012-01-01,Shooter,North America,0.88
439,2014-01-01,Shooter,North America,1.89
440,2007-01-01,Sports,North America,0.68
441,2000-01-01,Action,North America,1.7
442,1998-01-01,Racing,North America,2.14
443,1999-01-01,Racing,North America,2.31
444,2006-01-01,Misc,North America,0.91
445,2007-01-01,Role-Playing,North America,1.69
446,1990-01-01,Role-Playing,North America,0.08
447,2010-01-01,Adventure,North America,1.29
448,2010-01-01,Role-Playing,North America,1.99
449,2014-01-01,Sports,North America,0.78
450,2002-01-01,Fighting,North America,2.17
451,2001-01-01,Sports,North America,2.5
452,1986-01-01,Sports,North America,1.92
453,2012-01-01,Shooter,North America,1.89
454,2013-01-01,Action,North America,1.4
455,1994-01-01,Platform,North America,1.57
456,2002-01-01,Simulation,North America,1.72
457,2012-01-01,Role-Playing,North America,1.94
458,2008-01-01,Action,North America,1.91
459,2012-01-01,Shooter,North America,1.38
460,2010-01-01,Platform,North America,2.06
461,2008-01-01,Action,North America,1.94
462,1995-01-01,Platform,North America,1.54
463,2009-01-01,Shooter,North America,1.4
464,2002-01-01,Action,North America,1.85
465,1987-01-01,Fighting,North America,2.03
466,2002-01-01,Sports,North America,1.45
467,2015-01-01,Shooter,North America,2.38
468,2012-01-01,Sports,North America,2.6
469,2007-01-01,Fighting,North America,1.15
470,,Fighting,North America,1.57
471,2014-01-01,Action,North America,1.01
472,1993-01-01,Shooter,North America,1.61
473,2000-01-01,Misc,North America,1.67
474,2002-01-01,Sports,North America,0.12
475,2001-01-01,Action,North America,1.36
476,2015-01-01,Simulation,North America,0.47
477,2010-01-01,Shooter,North America,1.33
478,2014-01-01,Simulation,North America,0.96
479,2011-01-01,Role-Playing,North America,1.58
480,2003-01-01,Platform,North America,1.04
481,2008-01-01,Platform,North America,1.57
482,2002-01-01,Action,North America,1.36
483,2009-01-01,Fighting,North America,1.82
484,1996-01-01,Racing,North America,1.98
485,2003-01-01,Shooter,North America,2.22
486,2005-01-01,Fighting,North America,1.45
487,2009-01-01,Action,North America,1.76
488,2001-01-01,Puzzle,North America,2.07
489,2007-01-01,Role-Playing,North America,1.83
490,2006-01-01,Puzzle,North America,0.87
491,2007-01-01,Simulation,North America,1.43
492,2002-01-01,Platform,North America,1.75
493,2013-01-01,Sports,North America,0.61
494,2014-01-01,Shooter,North America,1.84
495,2004-01-01,Misc,North America,1.54
496,2008-01-01,Sports,North America,1.75
497,2003-01-01,Sports,North America,0.08
498,2012-01-01,Racing,North America,0.71
499,2001-01-01,Sports,North America,0.99
500,2004-01-01,Shooter,North America,1.51
501,2011-01-01,Sports,North America,1.54
502,1999-01-01,Shooter,North America,2.03
503,2007-01-01,Simulation,North America,1.3
504,1998-01-01,Racing,North America,0.09
505,2013-01-01,Shooter,North America,1.87
506,2012-01-01,Sports,North America,2.53
507,2002-01-01,Role-Playing,North America,2.09
508,2011-01-01,Fighting,North America,1.98
509,1990-01-01,Racing,North America,1.37
510,1997-01-01,Platform,North America,1.29
511,1996-01-01,Strategy,North America,1.37
512,2011-01-01,Action,North America,1.4
513,2015-01-01,Sports,North America,0.4
514,2010-01-01,Action,North America,1.87
515,2007-01-01,Shooter,North America,1.65
516,2009-01-01,Sports,North America,2.52
517,2010-01-01,Shooter,North America,1.28
518,2002-01-01,Fighting,North America,1.32
519,2002-01-01,Shooter,North America,1.96
520,2003-01-01,Action,North America,1.59
521,1994-01-01,Adventure,North America,0.02
522,2010-01-01,Racing,North America,1.05
523,2007-01-01,Simulation,North America,1.32
524,2003-01-01,Fighting,North America,1.32
525,2008-01-01,Action,North America,1.74
526,2006-01-01,Platform,North America,1.47
527,1997-01-01,Sports,North America,0.29
528,2011-01-01,Shooter,North America,1.45
529,1998-01-01,Platform,North America,1.96
530,2001-01-01,Fighting,North America,1.19
531,1992-01-01,Role-Playing,North America,0.0
532,1996-01-01,Fighting,North America,1.98
533,2011-01-01,Shooter,North America,0.89
534,2001-01-01,Sports,North America,2.19
535,2009-01-01,Puzzle,North America,0.3
536,2011-01-01,Role-Playing,North America,0.46
537,2003-01-01,Platform,North America,1.68
538,2014-01-01,Action,North America,1.27
539,2003-01-01,Platform,North America,1.44
540,2009-01-01,Fighting,North America,1.2
541,2003-01-01,Simulation,North America,1.41
542,2007-01-01,Platform,North America,1.24
543,2011-01-01,Action,North America,1.25
544,1980-01-01,Shooter,North America,2.56
545,1992-01-01,Misc,North America,1.43
546,2013-01-01,Action,North America,1.07
547,2000-01-01,Strategy,North America,1.02
548,1986-01-01,Action,North America,1.33
549,2011-01-01,Adventure,North America,1.52
550,2006-01-01,Shooter,North America,1.49
551,2002-01-01,Action,North America,1.75
552,2001-01-01,Action,North America,0.99
553,2015-01-01,Fighting,North America,1.47
554,1998-01-01,Misc,North America,1.25
555,2011-01-01,Sports,North America,2.42
556,2006-01-01,Action,North America,1.85
557,2010-01-01,Sports,North America,2.38
558,2010-01-01,Puzzle,North America,1.63
559,2010-01-01,Sports,North America,1.46
560,2004-01-01,Racing,North America,1.23
561,2014-01-01,Role-Playing,North America,0.0
562,2009-01-01,Racing,North America,0.69
563,2011-01-01,Role-Playing,North America,0.78
564,1992-01-01,Fighting,North America,1.95
565,2005-01-01,Shooter,North America,1.48
566,2008-01-01,Misc,North America,1.78
567,1998-01-01,Shooter,North America,1.44
568,2004-01-01,Role-Playing,North America,1.99
569,2006-01-01,Action,North America,1.59
570,2003-01-01,Action,North America,1.15
571,2012-01-01,Action,North America,1.56
572,2006-01-01,Shooter,North America,0.86
573,1986-01-01,Platform,North America,0.0
574,1996-01-01,Action,North America,2.0
575,2007-01-01,Action,North America,1.53
576,2000-01-01,Racing,North America,2.0
577,2006-01-01,Fighting,North America,0.76
578,2009-01-01,Strategy,North America,1.53
579,2009-01-01,Action,North America,1.7
580,2004-01-01,Sports,North America,2.15
581,2007-01-01,Sports,North America,1.07
582,2010-01-01,Shooter,North America,1.55
583,2009-01-01,Sports,North America,0.59
584,2011-01-01,Sports,North America,2.31
585,2008-01-01,Simulation,North America,0.63
586,2002-01-01,Action,North America,0.9
587,2010-01-01,Platform,North America,1.02
588,1990-01-01,Action,North America,1.86
589,2008-01-01,Sports,North America,0.48
590,2007-01-01,Platform,North America,0.93
591,2004-01-01,Sports,North America,2.03
592,2009-01-01,Platform,North America,0.64
593,2013-01-01,Shooter,North America,0.89
594,2009-01-01,Action,North America,1.04
595,2007-01-01,Role-Playing,North America,0.37
596,2006-01-01,Fighting,North America,1.4
597,2004-01-01,Platform,North America,1.31
598,2010-01-01,Misc,North America,0.28
599,2009-01-01,Role-Playing,North America,1.76
600,2007-01-01,Sports,North America,2.14
601,2001-01-01,Platform,North America,1.7
602,1987-01-01,Role-Playing,North America,0.15
603,2012-01-01,Sports,North America,2.11
604,2003-01-01,Role-Playing,North America,1.21
605,2008-01-01,Sports,North America,1.13
606,2008-01-01,Sports,North America,2.21
607,,Shooter,North America,2.36
608,2001-01-01,Racing,North America,1.13
609,2000-01-01,Action,North America,1.55
610,2007-01-01,Misc,North America,1.5
611,1986-01-01,Role-Playing,North America,0.49
612,2013-01-01,Action,North America,0.6
613,2006-01-01,Role-Playing,North America,2.29
614,2008-01-01,Sports,North America,0.13
615,1999-01-01,Misc,North America,1.28
616,2011-01-01,Action,North America,0.86
617,2003-01-01,Action,North America,1.84
618,2010-01-01,Action,North America,1.29
619,2002-01-01,Fighting,North America,1.81
620,2008-01-01,Shooter,North America,1.15
621,2008-01-01,Racing,North America,1.38
622,1998-01-01,Action,North America,1.15
623,2012-01-01,Sports,North America,1.72
624,,Misc,North America,1.93
625,2013-01-01,Sports,North America,2.1
626,2002-01-01,Misc,North America,1.13
627,2010-01-01,Misc,North America,1.67
628,2008-01-01,Racing,North America,1.55
629,1992-01-01,Role-Playing,North America,0.0
630,1997-01-01,Role-Playing,North America,0.93
631,1996-01-01,Racing,North America,2.12
632,2011-01-01,Shooter,North America,1.44
633,2006-01-01,Racing,North America,0.87
634,2003-01-01,Simulation,North America,1.07
635,1997-01-01,Adventure,North America,1.52
636,2008-01-01,Shooter,North America,1.56
637,1998-01-01,Platform,North America,1.26
638,1988-01-01,Sports,North America,1.27
639,2010-01-01,Sports,North America,0.29
640,2003-01-01,Fighting,North America,1.63
641,2001-01-01,Racing,North America,2.07
642,1998-01-01,Action,North America,0.81
643,2014-01-01,Misc,North America,1.43
644,2007-01-01,Racing,North America,0.69
645,2015-01-01,Sports,North America,2.07
646,1996-01-01,Puzzle,North America,2.1
647,1987-01-01,Fighting,North America,0.77
648,1997-01-01,Strategy,North America,2.3
649,,Adventure,North America,2.15
650,2015-01-01,Racing,North America,0.49
651,2010-01-01,Sports,North America,1.74
652,,Action,North America,1.54
653,1994-01-01,Misc,North America,1.49
654,2013-01-01,Action,North America,1.07
655,2011-01-01,Action,North America,1.48
656,2005-01-01,Misc,North America,1.67
657,2007-01-01,Action,North America,1.02
658,2011-01-01,Misc,North America,1.73
659,1998-01-01,Fighting,North America,1.94
660,2015-01-01,Action,North America,1.0
661,2014-01-01,Sports,North America,1.46
662,2010-01-01,Sports,North America,2.04
663,2001-01-01,Misc,North America,1.16
664,2007-01-01,Sports,North America,2.18
665,2004-01-01,Shooter,North America,2.28
666,2004-01-01,Action,North America,0.96
667,2004-01-01,Sports,North America,1.25
668,2009-01-01,Sports,North America,2.03
669,2011-01-01,Sports,North America,1.38
670,1995-01-01,Platform,North America,0.69
671,2010-01-01,Action,North America,1.07
672,1996-01-01,Platform,North America,1.39
673,1998-01-01,Role-Playing,North America,0.0
674,2008-01-01,Racing,North America,1.68
675,2013-01-01,Platform,North America,1.32
676,2007-01-01,Fighting,North America,0.92
677,2008-01-01,Sports,North America,1.2
678,2001-01-01,Action,North America,1.08
679,2010-01-01,Simulation,North America,1.27
680,2015-01-01,Action,North America,1.14
681,2015-01-01,Sports,North America,1.93
682,2010-01-01,Misc,North America,1.57
683,2000-01-01,Sports,North America,0.78
684,1997-01-01,Action,North America,0.79
685,2004-01-01,Shooter,North America,0.85
